simulationId,archetypeId,profileId,timelineKey,weeks,totalCompletionCount,avgAdherenceClamped,statOverallPct,rankOverallRank,rankOverallLp,rankOverallProgressValue,currentWeekShare,mappedHabitCount,unmappedHabitCount
A01_P00_1m,A01,P00,1m,4,12,1,0,Iron II,0,300,0.2500,1,0
A01_P00_3m,A01,P00,3m,12,36,1,1,Silver II,45,1145,0.0833,1,0
A01_P00_6m,A01,P00,6m,24,72,1,1,Gold II,7,1507,0.0417,1,0
A01_P00_12m,A01,P00,12m,48,144,1,2,Gold I,92,1692,0.0208,1,0
A01_P00_24m,A01,P00,24m,96,288,1,4,Emerald IV,92,2192,0.0104,1,0
A01_P00_48m,A01,P00,48m,192,576,1,7,Diamond II,96,2796,0.0052,1,0
A01_P01_1m,A01,P01,1m,4,32,1,1,Iron II,0,300,0.2500,2,0
A01_P01_3m,A01,P01,3m,12,96,1,2,Silver II,45,1145,0.0833,2,0
A01_P01_6m,A01,P01,6m,24,192,1,4,Gold II,7,1507,0.0417,2,0
A01_P01_12m,A01,P01,12m,48,384,1,7,Gold I,92,1692,0.0208,2,0
A01_P01_24m,A01,P01,24m,96,768,1,11,Emerald IV,92,2192,0.0104,2,0
A01_P01_48m,A01,P01,48m,192,1536,1,19,Diamond II,96,2796,0.0052,2,0
A01_P02_1m,A01,P02,1m,4,60,1,2,Iron II,0,300,0.2500,3,0
A01_P02_3m,A01,P02,3m,12,180,1,4,Silver II,45,1145,0.0833,3,0
A01_P02_6m,A01,P02,6m,24,360,1,7,Gold II,7,1507,0.0417,3,0
A01_P02_12m,A01,P02,12m,48,720,1,12,Gold I,92,1692,0.0208,3,0
A01_P02_24m,A01,P02,24m,96,1440,1,19,Emerald IV,92,2192,0.0104,3,0
A01_P02_48m,A01,P02,48m,192,2880,1,32,Diamond II,96,2796,0.0052,3,0
A01_P03_1m,A01,P03,1m,4,72,1,2,Iron II,0,300,0.2500,4,0
A01_P03_3m,A01,P03,3m,12,216,1,5,Silver II,45,1145,0.0833,4,0
A01_P03_6m,A01,P03,6m,24,432,1,8,Gold II,7,1507,0.0417,4,0
A01_P03_12m,A01,P03,12m,48,864,1,14,Gold I,92,1692,0.0208,4,0
A01_P03_24m,A01,P03,24m,96,1728,1,23,Emerald IV,92,2192,0.0104,4,0
A01_P03_48m,A01,P03,48m,192,3456,1,37,Diamond II,96,2796,0.0052,4,0
A01_P04_1m,A01,P04,1m,4,88,1,2,Iron II,0,300,0.2500,5,0
A01_P04_3m,A01,P04,3m,12,264,1,6,Silver II,45,1145,0.0833,5,0
A01_P04_6m,A01,P04,6m,24,528,1,10,Gold II,7,1507,0.0417,5,0
A01_P04_12m,A01,P04,12m,48,1056,1,17,Gold I,92,1692,0.0208,5,0
A01_P04_24m,A01,P04,24m,96,2112,1,26,Emerald IV,92,2192,0.0104,5,0
A01_P04_48m,A01,P04,48m,192,4224,1,42,Diamond II,96,2796,0.0052,5,0
A01_P05_1m,A01,P05,1m,4,120,1,3,Iron II,0,300,0.2500,6,0
A01_P05_3m,A01,P05,3m,12,360,1,8,Silver II,45,1145,0.0833,6,0
A01_P05_6m,A01,P05,6m,24,720,1,13,Gold II,7,1507,0.0417,6,0
A01_P05_12m,A01,P05,12m,48,1440,1,21,Gold I,92,1692,0.0208,6,0
A01_P05_24m,A01,P05,24m,96,2880,1,32,Emerald IV,92,2192,0.0104,6,0
A01_P05_48m,A01,P05,48m,192,5760,1,47,Diamond II,96,2796,0.0052,6,0
A01_P06_1m,A01,P06,1m,4,176,1,4,Iron II,0,300,0.2500,8,0
A01_P06_3m,A01,P06,3m,12,528,1,10,Silver II,45,1145,0.0833,8,0
A01_P06_6m,A01,P06,6m,24,1056,1,17,Gold II,7,1507,0.0417,8,0
A01_P06_12m,A01,P06,12m,48,2112,1,27,Gold I,92,1692,0.0208,8,0
A01_P06_24m,A01,P06,24m,96,4224,1,40,Emerald IV,92,2192,0.0104,8,0
A01_P06_48m,A01,P06,48m,192,8448,1,55,Diamond II,96,2796,0.0052,8,0
A01_P07_1m,A01,P07,1m,4,216,1,5,Iron II,0,300,0.2500,10,0
A01_P07_3m,A01,P07,3m,12,648,1,13,Silver II,45,1145,0.0833,10,0
A01_P07_6m,A01,P07,6m,24,1296,1,21,Gold II,7,1507,0.0417,10,0
A01_P07_12m,A01,P07,12m,48,2592,1,33,Gold I,92,1692,0.0208,10,0
A01_P07_24m,A01,P07,24m,96,5184,1,49,Emerald IV,92,2192,0.0104,10,0
A01_P07_48m,A01,P07,48m,192,10368,1,68,Diamond II,96,2796,0.0052,10,0
A01_P08_1m,A01,P08,1m,4,256,1,6,Iron II,0,300,0.2500,12,0
A01_P08_3m,A01,P08,3m,12,768,1,15,Silver II,45,1145,0.0833,12,0
A01_P08_6m,A01,P08,6m,24,1536,1,25,Gold II,7,1507,0.0417,12,0
A01_P08_12m,A01,P08,12m,48,3072,1,38,Gold I,92,1692,0.0208,12,0
A01_P08_24m,A01,P08,24m,96,6144,1,56,Emerald IV,92,2192,0.0104,12,0
A01_P08_48m,A01,P08,48m,192,12288,1,75,Diamond II,96,2796,0.0052,12,0
A01_P09_1m,A01,P09,1m,4,300,1,7,Iron II,0,300,0.2500,15,0
A01_P09_3m,A01,P09,3m,12,900,1,17,Silver II,45,1145,0.0833,15,0
A01_P09_6m,A01,P09,6m,24,1800,1,28,Gold II,7,1507,0.0417,15,0
A01_P09_12m,A01,P09,12m,48,3600,1,43,Gold I,92,1692,0.0208,15,0
A01_P09_24m,A01,P09,24m,96,7200,1,60,Emerald IV,92,2192,0.0104,15,0
A01_P09_48m,A01,P09,48m,192,14400,1,78,Diamond II,96,2796,0.0052,15,0
A01_P10_1m,A01,P10,1m,4,60,1,2,Iron II,0,300,0.2500,3,0
A01_P10_3m,A01,P10,3m,12,180,1,4,Silver II,45,1145,0.0833,3,0
A01_P10_6m,A01,P10,6m,24,360,1,7,Gold II,7,1507,0.0417,3,0
A01_P10_12m,A01,P10,12m,48,720,1,12,Gold I,92,1692,0.0208,3,0
A01_P10_24m,A01,P10,24m,96,1440,1,19,Emerald IV,92,2192,0.0104,3,0
A01_P10_48m,A01,P10,48m,192,2880,1,32,Diamond II,96,2796,0.0052,3,0
A01_P11_1m,A01,P11,1m,4,16,1,0,Iron II,0,300,0.2500,2,0
A01_P11_3m,A01,P11,3m,12,48,1,1,Silver II,45,1145,0.0833,2,0
A01_P11_6m,A01,P11,6m,24,96,1,2,Gold II,7,1507,0.0417,2,0
A01_P11_12m,A01,P11,12m,48,192,1,3,Gold I,92,1692,0.0208,2,0
A01_P11_24m,A01,P11,24m,96,384,1,6,Emerald IV,92,2192,0.0104,2,0
A01_P11_48m,A01,P11,48m,192,768,1,10,Diamond II,96,2796,0.0052,2,0
A01_P12_1m,A01,P12,1m,4,16,1,0,Iron II,0,300,0.2500,2,0
A01_P12_3m,A01,P12,3m,12,48,1,1,Silver II,45,1145,0.0833,2,0
A01_P12_6m,A01,P12,6m,24,96,1,2,Gold II,7,1507,0.0417,2,0
A01_P12_12m,A01,P12,12m,48,192,1,3,Gold I,92,1692,0.0208,2,0
A01_P12_24m,A01,P12,24m,96,384,1,5,Emerald IV,92,2192,0.0104,2,0
A01_P12_48m,A01,P12,48m,192,768,1,10,Diamond II,96,2796,0.0052,2,0
A01_P13_1m,A01,P13,1m,4,4,1,0,Iron II,0,300,0.2500,1,0
A01_P13_3m,A01,P13,3m,12,12,1,0,Silver II,45,1145,0.0833,1,0
A01_P13_6m,A01,P13,6m,24,24,1,0,Gold II,7,1507,0.0417,1,0
A01_P13_12m,A01,P13,12m,48,48,1,1,Gold I,92,1692,0.0208,1,0
A01_P13_24m,A01,P13,24m,96,96,1,1,Emerald IV,92,2192,0.0104,1,0
A01_P13_48m,A01,P13,48m,192,192,1,3,Diamond II,96,2796,0.0052,1,0
A01_P14_1m,A01,P14,1m,4,84,1,2,Iron II,0,300,0.2500,3,0
A01_P14_3m,A01,P14,3m,12,252,1,5,Silver II,45,1145,0.0833,3,0
A01_P14_6m,A01,P14,6m,24,504,1,9,Gold II,7,1507,0.0417,3,0
A01_P14_12m,A01,P14,12m,48,1008,1,15,Gold I,92,1692,0.0208,3,0
A01_P14_24m,A01,P14,24m,96,2016,1,23,Emerald IV,92,2192,0.0104,3,0
A01_P14_48m,A01,P14,48m,192,4032,1,34,Diamond II,96,2796,0.0052,3,0
A01_P15_1m,A01,P15,1m,4,60,1,2,Iron II,0,300,0.2500,3,0
A01_P15_3m,A01,P15,3m,12,180,1,4,Silver II,45,1145,0.0833,3,0
A01_P15_6m,A01,P15,6m,24,360,1,7,Gold II,7,1507,0.0417,3,0
A01_P15_12m,A01,P15,12m,48,720,1,12,Gold I,92,1692,0.0208,3,0
A01_P15_24m,A01,P15,24m,96,1440,1,19,Emerald IV,92,2192,0.0104,3,0
A01_P15_48m,A01,P15,48m,192,2880,1,32,Diamond II,96,2796,0.0052,3,0
A01_P16_1m,A01,P16,1m,4,80,1,2,Iron II,0,300,0.2500,4,0
A01_P16_3m,A01,P16,3m,12,240,1,5,Silver II,45,1145,0.0833,4,0
A01_P16_6m,A01,P16,6m,24,480,1,9,Gold II,7,1507,0.0417,4,0
A01_P16_12m,A01,P16,12m,48,960,1,14,Gold I,92,1692,0.0208,4,0
A01_P16_24m,A01,P16,24m,96,1920,1,22,Emerald IV,92,2192,0.0104,4,0
A01_P16_48m,A01,P16,48m,192,3840,1,33,Diamond II,96,2796,0.0052,4,0
A01_P17_1m,A01,P17,1m,4,64,1,2,Iron II,0,300,0.2500,4,0
A01_P17_3m,A01,P17,3m,12,192,1,4,Silver II,45,1145,0.0833,4,0
A01_P17_6m,A01,P17,6m,24,384,1,7,Gold II,7,1507,0.0417,4,0
A01_P17_12m,A01,P17,12m,48,768,1,12,Gold I,92,1692,0.0208,4,0
A01_P17_24m,A01,P17,24m,96,1536,1,19,Emerald IV,92,2192,0.0104,4,0
A01_P17_48m,A01,P17,48m,192,3072,1,29,Diamond II,96,2796,0.0052,4,0
